model,feature_type,classifier,label_level,accuracy,macro_f1,weighted_f1
Logistic Regression (baseline),PCA + normalized expression,Logistic Regression,celltype_l4,0.9068,0.8952,0.9065
kNN (baseline),PCA + normalized expression,kNN,celltype_l4,0.8890,0.8751,0.8875
scGPT,frozen scGPT embeddings (512-dim),Logistic Regression,celltype_l4,0.7782,0.7566,0.7759
scGPT,frozen scGPT embeddings (512-dim),MLP,celltype_l4,0.8584,0.8381,0.8583
scGPT,frozen scGPT embeddings (512-dim),Logistic Regression,celltype_l3,0.9561,0.8998,0.9582
Geneformer V1-10M,frozen Geneformer embeddings (256-dim),Logistic Regression,celltype_l4,0.7007,0.6511,0.7018
Geneformer V1-10M,frozen Geneformer embeddings (256-dim),MLP,celltype_l4,0.7046,0.6594,0.7010
UCE,frozen UCE embeddings (1280-dim),Logistic Regression,celltype_l4,0.8382,0.8031,0.8376
UCE,frozen UCE embeddings (1280-dim),MLP,celltype_l4,0.8566,0.8445,0.8558
UCE,frozen UCE embeddings (1280-dim),Logistic Regression,celltype_l3,0.9733,0.9364,0.9741
Logistic Regression (cross-tissue),PCA + normalized expression,Logistic Regression,celltype_l4,0.7504,0.6706,0.7535
kNN (cross-tissue),PCA + normalized expression,kNN,celltype_l4,0.3965,0.4446,0.4376
