,precision,recall,f1-score,support
C1,0.8114104595879557,0.8533333333333334,0.8318440292445166,600.0
C2,0.8323529411764706,0.9433333333333334,0.884375,600.0
C3,0.9924812030075187,0.6439024390243903,0.7810650887573964,205.0
CD56bright NK,0.8855291576673866,0.9425287356321839,0.9131403118040089,435.0
CD56dim NK,0.9457735247208932,0.9883333333333333,0.9665851670741646,600.0
Cycling NK,0.9465020576131687,0.8303249097472925,0.8846153846153846,554.0
ILC2,0.9766081871345029,0.9597701149425287,0.9681159420289855,174.0
ILC3,0.9538461538461539,0.7654320987654321,0.8493150684931506,81.0
Naïve-like ILC,0.8214285714285714,0.773109243697479,0.7965367965367965,119.0
accuracy,0.8889548693586699,0.8889548693586699,0.8889548693586699,0.8889548693586699
macro avg,0.9073258062425135,0.855563060201034,0.8750658653949338,3368.0
weighted avg,0.8942070927653455,0.8889548693586699,0.8875084302099198,3368.0
