,precision,recall,f1-score,support
C1,0.46786833855799376,0.2223463687150838,0.30143903054784144,2685.0
C2,0.791231732776618,0.25453324378777703,0.3851626016260163,2978.0
C3,1.0,0.07677165354330709,0.1425959780621572,1016.0
CD56bright NK,0.034595300261096605,0.954954954954955,0.06677165354330708,111.0
CD56dim NK,0.06645569620253164,0.9767441860465116,0.12444444444444444,86.0
Cycling NK,0.6577845451084887,0.7666370896184561,0.7080516287645974,2254.0
ILC2,0.7735849056603774,0.8978102189781022,0.831081081081081,137.0
ILC3,0.995475113122172,0.6043956043956044,0.7521367521367521,364.0
Naïve-like ILC,0.702576112412178,0.6772009029345373,0.6896551724137931,443.0
accuracy,0.39646615048640066,0.39646615048640066,0.39646615048640066,0.39646615048640066
macro avg,0.6099524160112728,0.6034882469971482,0.44459314917999887,10074.0
weighted avg,0.6849604440306186,0.39646615048640066,0.437608786245832,10074.0
