,precision,recall,f1-score,support
C1,0.8828996282527881,0.7916666666666666,0.8347978910369068,600.0
C2,0.9081803005008348,0.9066666666666666,0.9074228523769808,600.0
C3,0.7964601769911505,0.8780487804878049,0.8352668213457076,205.0
CD56bright NK,0.8817204301075269,0.9425287356321839,0.9111111111111111,435.0
CD56dim NK,0.98,0.98,0.98,600.0
Cycling NK,0.9328493647912885,0.927797833935018,0.930316742081448,554.0
ILC2,0.9828571428571429,0.9885057471264368,0.9856733524355301,174.0
ILC3,0.8690476190476191,0.9012345679012346,0.8848484848484849,81.0
Naïve-like ILC,0.7538461538461538,0.8235294117647058,0.7871485943775101,119.0
accuracy,0.9067695961995249,0.9067695961995249,0.9067695961995249,0.9067695961995249
macro avg,0.8875400907105004,0.9044420455756352,0.895176205512631,3368.0
weighted avg,0.9077752140837887,0.9067695961995249,0.9065147049281744,3368.0
