,precision,recall,f1-score,support
C1,0.8016842105263158,0.7091247672253259,0.7525691699604743,2685.0
C2,0.7188124464744504,0.8455339153794493,0.7770405801573831,2978.0
C3,0.5860420650095602,0.6033464566929134,0.5945683802133851,1016.0
CD56bright NK,0.2230769230769231,0.26126126126126126,0.24066390041493776,111.0
CD56dim NK,0.6372549019607843,0.7558139534883721,0.6914893617021277,86.0
Cycling NK,0.9340128755364807,0.7724046140195209,0.8455560951918407,2254.0
ILC2,0.6282722513089005,0.8759124087591241,0.7317073170731707,137.0
ILC3,0.9172932330827067,0.6703296703296703,0.7746031746031746,364.0
Naïve-like ILC,0.5460636515912898,0.7358916478555305,0.6269230769230769,443.0
accuracy,0.7504466944609887,0.7504466944609887,0.7504466944609887,0.7504466944609887
macro avg,0.6658347287297124,0.6921798550012409,0.6705690062488413,10074.0
weighted avg,0.7678448504397006,0.7504466944609887,0.753498922080178,10074.0
