model,setting,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,seed
Geneformer_LR,repeated_random_split,0.7090261282660333,0.6390618040408708,0.6906587181632425,0.6560664385675661,0.7207751635203185,0.7090261282660333,0.7100642448981562,0
Geneformer_MLP,repeated_random_split,0.7295130641330166,0.6941131435561437,0.6722746307745584,0.6812415897355729,0.7283005594847209,0.7295130641330166,0.7281098412723495,0
Geneformer_LR,repeated_random_split,0.6998218527315915,0.6394178513901695,0.6861584753589646,0.653680044927452,0.7115980771923648,0.6998218527315915,0.6997704003214116,1
Geneformer_MLP,repeated_random_split,0.7164489311163895,0.6978599802827855,0.6499622751500378,0.6667793322547951,0.715832230296262,0.7164489311163895,0.7124528239264687,1
Geneformer_LR,repeated_random_split,0.7007125890736342,0.635318679136835,0.682216564709785,0.6512375991163551,0.7111946827171343,0.7007125890736342,0.7012554109250984,2
Geneformer_MLP,repeated_random_split,0.7167458432304038,0.6864873339261831,0.6580751163542258,0.6699284349657375,0.7189910211355445,0.7167458432304038,0.716466939346466,2
Geneformer_LR,repeated_random_split,0.7093230403800475,0.6403684959321344,0.6924604705950514,0.6574574394982861,0.7189163722854425,0.7093230403800475,0.7077053156345515,3
Geneformer_MLP,repeated_random_split,0.7295130641330166,0.7092848236857364,0.6876580494104348,0.6966789645464673,0.7256957223487974,0.7295130641330166,0.7263054908870439,3
Geneformer_LR,repeated_random_split,0.7054631828978623,0.6427004325296348,0.6873117810462214,0.656475118994173,0.7182480277094366,0.7054631828978623,0.7068030924376253,4
Geneformer_MLP,repeated_random_split,0.713479809976247,0.6797748814800805,0.6544592817631478,0.6647018329618758,0.7177316533350186,0.713479809976247,0.7140895362589165,4
Geneformer_LR,repeated_random_split,0.7176365795724465,0.6526293304030105,0.7055933790718482,0.668539475476543,0.7330141243614692,0.7176365795724465,0.7197739801777309,5
Geneformer_MLP,repeated_random_split,0.7102137767220903,0.6553820403858335,0.6530571954505934,0.6529418894005593,0.7095947267261387,0.7102137767220903,0.7091731524814957,5
Geneformer_LR,repeated_random_split,0.6968527315914489,0.6316264071225158,0.674181739582727,0.6454896073496406,0.708961686319996,0.6968527315914489,0.6980918125415152,6
Geneformer_MLP,repeated_random_split,0.7057600950118765,0.6784084795642478,0.6336359652454548,0.6510444959107383,0.7066233727209837,0.7057600950118765,0.703984688781511,6
Geneformer_LR,repeated_random_split,0.7001187648456056,0.6315757251599223,0.6764518384426472,0.6468052601942467,0.7089989624752855,0.7001187648456056,0.6996321167289183,7
Geneformer_MLP,repeated_random_split,0.7164489311163895,0.6781872100987287,0.658536855236195,0.6668144100441334,0.7165813707899304,0.7164489311163895,0.7151413337521387,7
Geneformer_LR,repeated_random_split,0.7078384798099763,0.6360372827703878,0.6758107410810352,0.6492871147946648,0.7195206106263546,0.7078384798099763,0.7102035040013128,8
Geneformer_MLP,repeated_random_split,0.7158551068883611,0.67449573367413,0.6607752095547249,0.6667211495570111,0.7173325189821492,0.7158551068883611,0.7158454411140842,8
Geneformer_LR,repeated_random_split,0.6959619952494062,0.6413091827447173,0.6912583683249037,0.6570546230431593,0.7075416752879699,0.6959619952494062,0.696338688535017,9
Geneformer_MLP,repeated_random_split,0.7173396674584323,0.6904132012081396,0.6895380454500954,0.6880911025708437,0.7189470528011641,0.7173396674584323,0.7170651171883186,9
