,precision,recall,f1-score,support
C1,0.5979591836734693,0.48833333333333334,0.5376146788990825,600.0
C2,0.6492248062015504,0.5583333333333333,0.600358422939068,600.0
C3,0.47330960854092524,0.6487804878048781,0.5473251028806584,205.0
CD56bright NK,0.6257668711656442,0.7034482758620689,0.6623376623376623,435.0
CD56dim NK,0.9210977701543739,0.895,0.907861369399831,600.0
Cycling NK,0.9211009174311927,0.9061371841155235,0.913557779799818,554.0
ILC2,0.7738693467336684,0.8850574712643678,0.8257372654155496,174.0
ILC3,0.4105263157894737,0.48148148148148145,0.4431818181818182,81.0
Naïve-like ILC,0.3588235294117647,0.5126050420168067,0.42214532871972316,119.0
accuracy,0.7007125890736342,0.7007125890736342,0.7007125890736342,0.7007125890736342
macro avg,0.6368531499002291,0.6754640676901993,0.651124380952579,3368.0
weighted avg,0.7099471261558989,0.7007125890736342,0.7018234939227986,3368.0
