,precision,recall,f1-score,support
C1,0.5550161812297735,0.5716666666666667,0.5632183908045977,600.0
C2,0.6298932384341637,0.59,0.6092943201376936,600.0
C3,0.572972972972973,0.5170731707317073,0.5435897435897435,205.0
CD56bright NK,0.6138613861386139,0.7126436781609196,0.6595744680851063,435.0
CD56dim NK,0.8532695374800638,0.8916666666666667,0.8720456397718012,600.0
Cycling NK,0.8971119133574007,0.8971119133574007,0.8971119133574007,554.0
ILC2,0.8172043010752689,0.8735632183908046,0.8444444444444444,174.0
ILC3,0.6923076923076923,0.4444444444444444,0.5413533834586466,81.0
Naïve-like ILC,0.5063291139240507,0.33613445378151263,0.40404040404040403,119.0
accuracy,0.7045724465558195,0.7045724465558195,0.7045724465558195,0.7045724465558195
macro avg,0.6819962596577779,0.6482560235777913,0.6594080786322043,3368.0
weighted avg,0.7015796237343048,0.7045724465558195,0.7009945270058392,3368.0
