comparison,observed_diff,ci95_low,ci95_high,bootstrap_two_sided_p
PCA_MLP minus PCA_LR,0.007307972977243726,-0.0006930710169160581,0.01535585962919761,0.076
scGPT_MLP minus PCA_LR,-0.048572969316812875,-0.060644800853043676,-0.03704668952053137,0.0
UCE_MLP minus PCA_LR,-0.05100377601479711,-0.06260664818148294,-0.039191151311976986,0.0
Geneformer_MLP minus PCA_LR,-0.2058298922054207,-0.22269114511914234,-0.18896394424811927,0.0
scGPT_MLP minus scGPT_LR,0.08234711253885629,0.06872078666642559,0.09493257492343771,0.0
UCE_MLP minus UCE_LR,0.018268120799466048,0.007932538137922884,0.0297948359184441,0.001
Geneformer_MLP minus Geneformer_LR,-0.0008289669169594394,-0.013669538113182176,0.012959960470383353,0.892
UCE_MLP minus scGPT_MLP,-0.0024308066979842335,-0.015411886067274384,0.01056173074039081,0.694
scGPT_MLP minus PCA_MLP,-0.0558809422940566,-0.0685111567968082,-0.04349500205566719,0.0
UCE_MLP minus PCA_MLP,-0.058311748992040835,-0.07014026344823206,-0.04668911595109022,0.0
