,precision,recall,f1-score,support
C1,0.7455012853470437,0.48333333333333334,0.5864509605662285,600.0
C2,0.7344262295081967,0.7466666666666667,0.740495867768595,600.0
C3,0.58984375,0.7365853658536585,0.6550976138828634,205.0
CD56bright NK,0.7053571428571429,0.9080459770114943,0.7939698492462312,435.0
CD56dim NK,0.9346092503987241,0.9766666666666667,0.9551752241238793,600.0
Cycling NK,0.9546436285097192,0.7978339350180506,0.8692232055063913,554.0
ILC2,0.8716577540106952,0.9367816091954023,0.9030470914127424,174.0
ILC3,0.7647058823529411,0.8024691358024691,0.7831325301204819,81.0
Naïve-like ILC,0.42408376963350786,0.680672268907563,0.5225806451612903,119.0
accuracy,0.7782066508313539,0.7782066508313539,0.7782066508313539,0.7782066508313539
macro avg,0.7472031880686634,0.7854505509394784,0.756574776420967,3368.0
weighted avg,0.7925827047192568,0.7782066508313539,0.7759043373555907,3368.0
