,precision,recall,f1-score,support
C1,0.7352941176470589,0.75,0.7425742574257426,600.0
C2,0.8012718600953895,0.84,0.8201790073230268,600.0
C3,0.7680412371134021,0.7268292682926829,0.7468671679197995,205.0
CD56bright NK,0.8561946902654868,0.8896551724137931,0.8726042841037204,435.0
CD56dim NK,0.971900826446281,0.98,0.9759336099585062,600.0
Cycling NK,0.9623352165725048,0.9223826714801444,0.9419354838709677,554.0
ILC2,0.9482758620689655,0.9482758620689655,0.9482758620689655,174.0
ILC3,0.8787878787878788,0.7160493827160493,0.7891156462585034,81.0
Naïve-like ILC,0.7523809523809524,0.6638655462184874,0.7053571428571429,119.0
accuracy,0.8583729216152018,0.8583729216152018,0.8583729216152018,0.8583729216152018
macro avg,0.8527202934864355,0.8263397670211247,0.8380936068651529,3368.0
weighted avg,0.8592108336945639,0.8583729216152018,0.858251449894447,3368.0
