,precision,recall,f1-score,support
C1,0.7689530685920578,0.71,0.7383015597920277,600.0
C2,0.7974481658692185,0.8333333333333334,0.8149959250203749,600.0
C3,0.7128712871287128,0.7024390243902439,0.7076167076167076,205.0
CD56bright NK,0.8315334773218143,0.8850574712643678,0.8574610244988864,435.0
CD56dim NK,0.9714285714285714,0.9633333333333334,0.9673640167364017,600.0
Cycling NK,0.9047619047619048,0.8916967509025271,0.8981818181818182,554.0
ILC2,0.9171270718232044,0.9540229885057471,0.9352112676056338,174.0
ILC3,0.6973684210526315,0.654320987654321,0.6751592356687898,81.0
Naïve-like ILC,0.6209677419354839,0.6470588235294118,0.6337448559670782,119.0
accuracy,0.8381828978622328,0.8381828978622328,0.8381828978622328,0.8381828978622328
macro avg,0.8024955233237332,0.804584745879254,0.8031151567875242,3368.0
weighted avg,0.8378128768293356,0.8381828978622328,0.8375525223969967,3368.0
