,precision,recall,f1-score,support
C1,0.7521514629948365,0.7283333333333334,0.7400508044030483,600.0
C2,0.8346972176759411,0.85,0.8422791081750619,600.0
C3,0.7845303867403315,0.6926829268292682,0.7357512953367875,205.0
CD56bright NK,0.7916666666666666,0.9172413793103448,0.8498402555910544,435.0
CD56dim NK,0.9640522875816994,0.9833333333333333,0.9735973597359736,600.0
Cycling NK,0.933206106870229,0.8826714801444043,0.9072356215213359,554.0
ILC2,0.9766081871345029,0.9597701149425287,0.9681159420289855,174.0
ILC3,0.8533333333333334,0.7901234567901234,0.8205128205128205,81.0
Naïve-like ILC,0.7981651376146789,0.7310924369747899,0.7631578947368421,119.0
accuracy,0.8565914489311164,0.8565914489311164,0.8565914489311164,0.8565914489311164
macro avg,0.8542678651791354,0.8372498290731252,0.8445045668935456,3368.0
weighted avg,0.8571175681047836,0.8565914489311164,0.8558206431964628,3368.0
